Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","SolderJumper_2_Open","DNP_0402_1005Metric",4.520000,32.430000,270.000000,bottom
"U9","APS6404L-3SQR-SN","SOP-8_3.9x4.9mm_P1.27mm",8.890000,10.690000,315.000000,bottom
"U10","SN74CBTD16211DGVR","Texas_TVSOP-56_4.4x11.3mm_P0.4mm",8.890000,19.660000,90.000000,bottom
